STATE,CITY,LOCATION,ENERGY,AREA,IT EQUIPMENT POWER,State_Aggregated_PUE,FULL_CABINETS,PARTIAL_CABINETS,SHARED_RACKSPACE,CAGES,SUITES,BUILD_TO_SUIT,FOOTPRINTS,REMOTE_HANDS,YEAR_OPERATIONAL,INTERNET_EXCHANGE_POINTS,State_Aggregated_IXP_Count
FL,Miami,36 NE 2nd St (MIA10),1.3,10200,0.91,1.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1925,6,7
FL,Miami,RadiusDC Miami I,9.2,15795,6.44,1.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2001,6,7
FL,Miami,Volico Miami 2,10,5000,7,1.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1925,6,7
FL,Miami,Raeden MIA2,3,32000,2.1,1.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2006,6,7
FL,Orlando,CoreSite Orlando (OR1),7,130000,4.9,1.8,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,1984,3,7
FL,Orlando,Signal Hill Telecom Center,13,115000,9.1,1.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2000,3,7
ID,Boise,Ark Data Centers Boise 1,1,10000,0.7,1.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2014,1,1
ID,Boise,Tonaquint Boise Data Center,2,8500,1.4,1.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2000,1,1
NY,New York,60 Hudson Street (JFK12),2.5,38400,1.75,1.37,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1930,11,11
NY,New York,111 Eight Avenue (JFK10),5.5,50100,3.85,1.37,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1932,11,11
NY,Orangeburg,1 Ramland,12,100000,8.4,1.37,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2017,1,11
NY,Garden City,Opti9 NY1,4,25000,2.8,1.37,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2002,1,11
NY,New York,Hudson InterXchange,6,120000,4.2,1.37,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2011,11,11
WA,Seattle,2001 Sixth Avenue (SEA10),19.5,398600,13.65,1.75,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1981,5,10
WA,Seattle,The Westin Building,19,300000,13.3,1.75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1981,5,10
WA,Seattle,ColoCrossing SEA1,10,18000,7,1.75,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1999,5,10
WA,Seattle,ColoInSeattle.com,2,18000,1.4,1.75,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2001,5,10
VA,Ashburn,43830 Devin Shafron Drive (IAD24),6.8,57700,4.76,1.15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2011,7,12
