STATE,CITY,LOCATION,ENERGY,AREA,IT EQUIPMENT POWER,State_Aggregated_PUE,FULL_CABINETS,PARTIAL_CABINETS,SHARED_RACKSPACE,CAGES,SUITES,BUILD_TO_SUIT,FOOTPRINTS,REMOTE_HANDS,YEAR_OPERATIONAL,INTERNET_EXCHANGE_POINTS,State_Aggregated_IXP_Count,LOCATION_ID,Cluster,PCA1,PCA2
FL,Miami,36 NE 2nd St (MIA10),1.3,10200,0.91,1.8,True,True,True,True,True,True,True,True,1925,6,7,1,2,-3.014297063218488,3.5912580508232703
FL,Miami,RadiusDC Miami I,9.2,15795,6.44,1.8,True,True,True,True,True,True,True,True,2001,6,7,2,2,-2.538830617754201,3.1652882369250515
FL,Miami,Volico Miami 2,10.0,5000,7.0,1.8,True,True,True,True,True,True,True,True,1925,6,7,3,2,-2.853840608453568,3.4414597715202984
FL,Miami,Raeden MIA2,3.0,32000,2.1,1.8,True,True,True,True,True,True,True,True,2006,6,7,4,2,-2.5847457904071476,3.0061993733127528
FL,Orlando,CoreSite Orlando (OR1),7.0,130000,4.9,1.8,True,True,True,True,True,False,True,True,1984,3,7,5,2,-1.8553845293592577,3.4196988715250836
FL,Orlando,Signal Hill Telecom Center,13.0,115000,9.1,1.8,True,True,True,True,True,True,True,True,2000,3,7,6,2,-2.2649577960026814,3.154292343337257
ID,Boise,Ark Data Centers Boise 1,1.0,10000,0.7,1.5,True,True,True,True,True,True,True,True,2014,1,1,7,2,-2.28807954489034,2.7878887168729674
ID,Boise,Tonaquint Boise Data Center,2.0,8500,1.4,1.5,True,True,True,True,True,True,True,True,2000,1,1,8,2,-2.323309464652582,2.780136389548708
NY,New York,60 Hudson Street (JFK12),2.5,38400,1.75,1.37,True,True,True,True,True,True,True,True,1930,11,11,9,2,-2.3312213047744086,0.8571535151897341
NY,New York,111 Eight Avenue (JFK10),5.5,50100,3.85,1.37,True,True,True,True,True,True,True,True,1932,11,11,10,2,-2.249069142695089,0.7741542974889277
NY,Orangeburg,1 Ramland,12.0,100000,8.4,1.37,True,True,True,True,True,True,True,True,2017,1,11,11,2,-1.8137191108151118,1.4655366166204948
NY,Garden City,Opti9 NY1,4.0,25000,2.8,1.37,True,True,True,True,True,True,True,True,2002,1,11,12,2,-2.1195385187742035,1.473197268202781
NY,New York,Hudson InterXchange,6.0,120000,4.2,1.37,False,False,True,True,True,False,True,True,2011,11,11,13,2,0.09925017944933144,0.5426599350775713
WA,Seattle,2001 Sixth Avenue (SEA10),19.5,398600,13.65,1.75,True,True,True,True,True,True,True,True,1981,5,10,14,2,-1.3720489379744123,1.7293017079680029
WA,Seattle,The Westin Building,19.0,300000,13.3,1.75,False,False,False,False,False,False,False,False,1981,5,10,15,1,3.9114071479348307,2.5466042523329575
WA,Seattle,ColoCrossing SEA1,10.0,18000,7.0,1.75,True,True,True,True,True,True,True,True,1999,5,10,16,2,-1.8670843188313995,1.5196722739621378
WA,Seattle,ColoInSeattle.com,2.0,18000,1.4,1.75,True,True,True,True,True,True,True,True,2001,5,10,17,2,-1.984239893002242,1.4471040794234198
VA,Ashburn,43830 Devin Shafron Drive (IAD24),6.8,57700,4.76,1.15,False,False,False,False,False,False,False,False,2011,7,12,18,1,4.735748439931907,0.5547526129909081
VA,Ashburn,"44274 Round Table Plaza, Bldg L (IAD39)",96.3,469600,67.41,1.15,False,False,False,False,False,False,False,False,2017,7,12,19,1,6.751110326883494,0.36688993981808754
VA,Ashburn,"44372 Round Table Plaza, Bldg M (IAD40)",24.0,69600,16.8,1.15,False,False,False,False,False,False,False,False,2017,7,12,20,1,5.0850657281715606,0.3693300576547617
VA,Ashburn,43791 Devin Shafron Drive (IAD14),6.9,51400,4.83,1.15,False,False,False,False,False,False,False,False,2010,7,12,21,1,4.754790291703085,0.34668450792854655
VA,Ashburn,43881 Devin Shafron Drive (IAD12),9.0,57100,6.3,1.15,False,False,False,False,False,False,False,False,2001,7,12,22,1,4.767756854113723,0.3149292343583417
VA,Ashburn,43940 Digital Loudoun Plaza (IAD35),26.4,223800,18.48,1.15,False,False,False,False,False,False,False,False,2013,7,12,23,1,5.311779050717393,0.1704747930389883
VA,Ashburn,"22124 Broderick Drive, Bldg R (IAD42)",48.0,208200,33.6,1.15,False,False,False,False,False,False,False,False,2021,7,12,24,1,5.703389920741241,0.043086184125074777
VA,Ashburn,NTT Ashburn VA1,12.6,64723,8.82,1.15,False,False,False,False,False,False,False,False,2000,7,12,25,1,4.861758053006308,0.10339187883970835
VA,Ashburn,Aligned IAD-02,120.0,283023,84.0,1.15,False,False,False,False,False,False,False,False,2020,7,12,26,1,7.020849673099445,-0.16235073486721913
CA,Los Angeles,600 West 7th Street (LAX10),9.0,70300,6.3,1.22,True,True,True,True,True,True,True,True,1934,9,37,27,0,-1.923158011345376,-2.3360502798140055
CA,Los Angeles,2260 E El Segundo Blvd (LAX12),7.1,66800,4.97,1.22,True,True,True,True,True,True,True,True,1979,9,37,28,0,-1.7566921950049108,-2.6109463807940596
CA,Los Angeles,Hivelocity - Los Angeles 2,10.0,490000,7.0,1.22,True,True,True,True,True,True,True,True,2000,9,37,29,0,-1.1290743014261007,-2.78682508445135
