STATE,CITY,LOCATION,ENERGY,,AREA,ESTABLISHED,DOWNLOADS,FULLY_BUILT_OUT_POWER,FULLY_BUILT_OUT_WHITESPACE,TOTAL_BUILDING_SIZE,FULL_CABINETS,PARTIAL_CABINETS,SHARED_RACKSPACE,CAGES,SUITES,BUILD_TO_SUIT,FOOTPRINTS,REMOTE_HANDS,MAX_POWER_AREA,UPS_REDUNDANCY,COOLING_REDUNDANCY,STANDBY_POWER_REDUNDANCY,TIER_DESIGN,DSS_PCI_CERTIFIED,ISO27001_CERTIFIED,HIPAA,SOC_2_TYPE_II_CERTIFIED,SOC_3_TYPE2_CERTIFIED,NIST_800_53,CCTV_SURVEILLANCE,BIOMETRIC_ACCESS_CONTROL,CARD_ACCESS_CONTROL,ONSITE_SECURITY_STAFF,ONSITE_TECHNICAL_STAFF,YEAR_OPERATIONAL,ROOF_ACCESS,BUILDING_FLOORS,MAX_FLOOR_LOAD,MEET_ME_ROOM_MMR,INTERNET_EXCHANGE_POINTS,PEERING_NETWORKS,NETWORK_PROVIDERS,TENANTS_OFFERING_COLOCATION,CHILD_DATA_CENTER_LISTINGS,Source_File
CA,Los Angeles,600 West 7th Street (LAX10),9 MW,,"70,300 SQ.F.",EST. 1934,{},9 MW,"70,300 sq.f.","490,000 sq.f.",Yes,Yes,No,Yes,Yes,No,Yes,Yes,,2N,N+1,N+1,Tier 3,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,"Yes, 24/7","Yes, 24/7",1934,Yes,7,125 Lb/sq.f.,Yes,1,47,5,1,5,cali-flattened.csv
CA,Los Angeles,2260 E El Segundo Blvd (LAX12),7.1 MW,,"66,800 SQ.F.",EST. 1979,{},7.1 MW,"66,800 sq.f.","132,000 sq.f.",Yes,Yes,No,Yes,Yes,No,Yes,Yes,,N+1,N+1,N+1,Tier 3,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,"Yes, 24/7",,1979,Yes,2,150 Lb/sq.f.,Yes,,8,,,1,cali-flattened.csv
CA,Los Angeles,Centersquare - Los Angeles LAX5-A,,,,,{},15 MW,"66,500 sq.f.","150,000 sq.f.",Yes,No,No,Yes,Yes,No,Yes,Yes,,N+1,N,N+1,Tier 3,Yes,Yes,,Yes,,,Yes,Yes,Yes,"Yes, 24/7",,,,,,,,3,,,,cali-flattened.csv
CA,Los Angeles,Hivelocity - Los Angeles 2,10 MW,,"490,000 SQ.F.",EST. 2000,{},10 MW,"490,000 sq.f.",,Yes,Yes,Yes,Yes,No,No,No,Yes,250 kW/sq.f.,2N,N+1,N+1,Tier 4,Yes,,Yes,Yes,,,Yes,Yes,Yes,"Yes, 24/7",,2000,Yes,,,,,,1,,,cali-flattened.csv
CA,Los Angeles,Hivelocity - Los Angeles 1,,,,,{},,,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,,2N,N+1,N+1,,Yes,,Yes,Yes,,,Yes,Yes,Yes,"Yes, 24/7",,,,,,,,,1,,,cali-flattened.csv
CA,Los Angeles,West 7 Center,16.9 MW,,"150,000 SQ.F.",EST. 2016,{},16.9 MW,"150,000 sq.f.","375,000 sq.f.",Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,N+1,N+2,N+1,Tier 3,,,,,,,Yes,Yes,Yes,"Yes, 24/7","Yes, 24/7",2016,Yes,3,"2,000 Lb/sq.f.",Yes,,6,13,,2,cali-flattened.csv
CA,Los Angeles,Colocation America LADC3,,,,,{},27 MW,"67,000 sq.f.","500,000 sq.f.",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,,,N+1,,Tier 3,Yes,,Yes,,,,Yes,,,"Yes, 24/7",,,,,,,,,2,1,,cali-flattened.csv
CA,Los Angeles,Equinix LA2,,,,,{},,"13,820 sq.f.",,Yes,Yes,No,Yes,No,No,Yes,Yes,,2N,N+1,N+1,,Yes,Yes,Yes,Yes,,,Yes,Yes,,"Yes, 24/7","Yes, 24/7",,,8,125 Lb/sq.f.,,1,17,2,1,,cali-flattened.csv
CA,Los Angeles,One Wilshire,,,,,{},32 MW,,"662,000 sq.f.",,,,,,,,,,,,,,,,,,,,,,,"Yes, 24/7",,1966,,30,,Yes,,,4,,8,cali-flattened.csv
CA,Los Angeles,Evocative LAX14,,,,,{},7.5 MW,"24,345 sq.f.","104,000 sq.f.",Yes,Yes,Yes,Yes,No,No,Yes,Yes,,,,,,,,Yes,Yes,,,Yes,,,"Yes, 24/7","Yes, 24/7",,,,,,,6,,1,,cali-flattened.csv
